,Name,Text,Time
0,Alexandria Ocasio-Cortez,"Presenting: Team AOC's 2022 Unwrapped! 🎁

Ever wonder what your Representative has been up to? We're proud to share our annual report to constituents and supporters across the country!

Here's our 22 Wins for 2022🏆
Want to help for 2023? Share + sign up: https://t.co/0o7guZ7Hbm https://t.co/ucb6Hcd6Ai",2022-12-21 18:18:34+00:00
1,Alexandria Ocasio-Cortez,"RT @RepAOC: Republicans constantly justify drilling by promising big economic payouts. But drilling in the Arctic Refuge — a historically protected area — was supposed to generate billions in revenue to pay for Trump’s 2017 Tax Cuts and Jobs Act. In the end, it only generated $6 million. https://t.co/b4HHp9Bkqr",2023-11-29 23:19:53+00:00
2,Rep. Alexandria Ocasio-Cortez,"Republicans constantly justify drilling by promising big economic payouts. But drilling in the Arctic Refuge — a historically protected area — was supposed to generate billions in revenue to pay for Trump’s 2017 Tax Cuts and Jobs Act. In the end, it only generated $6 million. https://t.co/b4HHp9Bkqr",2023-11-29 19:53:45+00:00
3,Alexandria Ocasio-Cortez,"The reason GOP don’t want a public hearing on Hunter Biden is because @OversightDems have hoisted them by their own petards in every public hearing this year.

They’re scared of getting humiliated for not having an actual case (again), so they need to hide.

There’s your answer🕵🏽‍♀️",2023-11-28 18:08:01+00:00
4,Acyn,Fox News hosts trying to convince their viewers that a closed door deposition of Hunter Biden is better than a public hearing https://t.co/KPxznk5NUK,2023-11-28 17:25:29+00:00
5,Alexandria Ocasio-Cortez,🌭: “we’re all trying to find the guy who did this”,2023-11-23 01:48:15+00:00
6,AIPAC | Text ISRAEL to 24722 | #StandWithIsrael,"AIPAC was absolutely not involved in any way in this matter. 

Also, our records indicate that this individual has not contributed to AIPAC in over a decade.",2023-11-22 20:06:03+00:00
7,Alexandria Ocasio-Cortez,"The fact that in the US just *1* wealthy person can make a call and offer millions to unseat an official they dislike tells you everything about the corruption of our politics.

It also tells you why the tiny # of members who have managed to beat them are seen as such a threat.",2023-11-22 22:52:44+00:00
8,Nicholas Wu,"NEWS - A Michigan businessman called Dem Senate candidate Hill Harper to offer $20M in campaign contributions if he agreed to drop out and instead mount a primary challenge to Rep. Rashida Tlaib, per source w/ direct knowledge of call 
w/ @UrsulaPerano 
https://t.co/zoYPDgv5ng",2023-11-22 17:41:06+00:00
9,Alexandria Ocasio-Cortez,"Remember all the TV pundits and Wall Street insiders who said these UAW raises were functionally impossible, unrealistic demands?

Now it’s a done deal.

Amazing what courage, solidarity, and ingenuity can do. 

Congratulations, @UAW 🎊",2023-11-21 16:14:48+00:00
10,More Perfect Union,"BREAKING: The @UAW announces that its members at all Big Three automakers have ratified new contracts — with pay increases of 33% between raises and COLA.

Overall, 64% of the workers voted yes. This historic contract marks a huge step forward for renewed labor power.",2023-11-20 15:43:53+00:00
11,Alexandria Ocasio-Cortez,"RT @SenSanders: The Netanyahu government, or hopefully a new Israeli government, must understand that not one penny will be coming to Israel from the U.S. unless there is a fundamental change in their military and political positions. Read my statement: https://t.co/x3LlSRhuYO",2023-11-18 23:44:31+00:00
12,Bernie Sanders,"The Netanyahu government, or hopefully a new Israeli government, must understand that not one penny will be coming to Israel from the U.S. unless there is a fundamental change in their military and political positions. Read my statement: https://t.co/x3LlSRhuYO",2023-11-18 23:07:06+00:00
13,Alexandria Ocasio-Cortez,"RT @prem_thakker: NEW—With Rep. Jamie Raskin, 37 members of Congress are now calling for a ceasefire.

That’s a +13 increase since the Reuters poll was released three days ago, showing 68% of Americans supporting a ceasefire, including about 75% of Democrats and 50% of Republicans. https://t.co/4oXFhYRZHf",2023-11-18 23:07:04+00:00
14,Prem Thakker,"NEW—With Rep. Jamie Raskin, 37 members of Congress are now calling for a ceasefire.

That’s a +13 increase since the Reuters poll was released three days ago, showing 68% of Americans supporting a ceasefire, including about 75% of Democrats and 50% of Republicans. https://t.co/4oXFhYRZHf",2023-11-18 18:30:42+00:00
15,Alexandria Ocasio-Cortez,"Conditioning aid to Israel, as we do with virtually all other US allies, is a responsible course of action.

The United States has a legal and moral responsibility to ensure that public resources do not facilitate gross violations of human rights and international law.",2023-11-18 23:00:22+00:00
16,POLITICO,"Democrats in Senate, House discuss conditioning military aid to Israel https://t.co/XnyLXFkqKk",2023-11-18 17:46:43+00:00
17,Alexandria Ocasio-Cortez,RT @RepGaramendi: My statement on the need for a negotiated ceasefire between Israel and Hamas. https://t.co/FOiHVFdDbh,2023-11-17 22:13:17+00:00
18,John Garamendi,My statement on the need for a negotiated ceasefire between Israel and Hamas. https://t.co/FOiHVFdDbh,2023-11-17 21:10:47+00:00
19,Alexandria Ocasio-Cortez,RT @RepGabeVasquez: My statement on the safe return of hostages and support towards a ceasefire agreement: https://t.co/tQJtaEoNBz,2023-11-17 02:11:43+00:00
20,Rep. Gabe Vasquez,My statement on the safe return of hostages and support towards a ceasefire agreement: https://t.co/tQJtaEoNBz,2023-11-17 00:31:25+00:00
21,Alexandria Ocasio-Cortez,"American Airlines flight attendants are on the picket line at LGA and across the country demanding a fair contract.

It is unacceptable that some of the same attendants who care for us the skies must resort to sleeping in cars because their pay is so low.

Stand with @APFAunity💪🏽",2023-11-17 00:03:58+00:00
22,Dripped Out Trade Unionists,Rep. Alexandria Ocasio-Cortez on the picket line with American Airlines flight attendants at LaGuardia ✊🏻✈️ https://t.co/gTdWm5tBUg,2023-11-16 23:17:52+00:00
23,Alexandria Ocasio-Cortez,"Rep. Becca Balint is now the first Jewish member of Congress to come out in favor of a ceasefire in Gaza.

She is incredibly brave, taking a stance rooted in her commitment to human rights and protection of the innocent.

Read her words. Support her.
Proud to call her a friend.",2023-11-16 20:58:18+00:00
24,Rep. Becca Balint,"The Israeli siege on Gaza has killed thousands of civilians, thousands of children. Millions are without food, water, fuel and medicine. This is dire.

What is needed right now is an immediate break in violence to allow for a true negotiated ceasefire.
https://t.co/6IblwV2XGa",2023-11-16 18:24:42+00:00
25,Alexandria Ocasio-Cortez,"Criticism of the Israeli gov is virtually nonexistent in US politics, but apparently that’s not enough.

Gotta spend *$100 million* to unseat the few who believe in Palestinian human rights &amp; a ceasefire that most Americans already support.

The acceptable level of dissent is 0.",2023-11-15 22:25:18+00:00
26,Alex Sammon,"NEW: Sources say AIPAC is gearing up to spend over *$100 MILLION* as part of a campaign to knock the Squad out of congress in 2024. Cori Bush, Ilhan Omar, Jamaal Bowman, Summer Lee, and Rashida Tlaib are all marked for high dollar challenges. https://t.co/6wXDMEBfNE",2023-11-15 19:36:52+00:00
27,Alexandria Ocasio-Cortez,"RT @RepAOC: Today we are announcing an expanded coalition of 24 members of Congress pressing the Biden administration for a bilateral ceasefire in Gaza on the basis of grave violations of children’s rights.

Proud to co-lead with partners @BettyMcCollum04 and @RepMarkPocan. https://t.co/dykqZuaNrW",2023-11-15 21:46:02+00:00
28,Rep. Alexandria Ocasio-Cortez,"Today we are announcing an expanded coalition of 24 members of Congress pressing the Biden administration for a bilateral ceasefire in Gaza on the basis of grave violations of children’s rights.

Proud to co-lead with partners @BettyMcCollum04 and @RepMarkPocan. https://t.co/dykqZuaNrW",2023-11-15 20:07:24+00:00
29,Alexandria Ocasio-Cortez,"RT @zhang_sharon: New: 24 House members, led by @AOC, have sent a letter to Biden and Blinken calling for a ""bilateral ceasefire."" 

""We are profoundly shocked by the grave violations of children’s rights in the context of armed conflict in Israel and the Occupied Palestinian Territory.""",2023-11-15 17:55:34+00:00
30,sharon zhang,"New: 24 House members, led by @AOC, have sent a letter to Biden and Blinken calling for a ""bilateral ceasefire."" 

""We are profoundly shocked by the grave violations of children’s rights in the context of armed conflict in Israel and the Occupied Palestinian Territory.""",2023-11-15 17:16:35+00:00
