,Name,Text,Time
0,Bernie Sanders,Change is coming. The question is: What kind of change will it be? Will it be a Trump authoritarian change which divides us up based on the color of our skin or where we were born. Or one that brings us together to achieve economic &amp; social justice and a world of human decency. https://t.co/XZB0d9dAae,2023-11-30 16:38:40+00:00
1,Bernie Sanders,Read the full op-ed here: https://t.co/swYaJ9p5Qc,2023-11-30 16:39:01+00:00
2,Bernie Sanders,"Let me congratulate the UAW for its new organizing campaign to unionize 150,000 US workers at non-union auto plants owned by companies like Tesla, Nissan, Toyota and BMW. We cannot expand and strengthen the middle class without a vibrant, strong and growing trade union movement. https://t.co/GtzImindQv",2023-11-29 21:42:55+00:00
3,Bernie Sanders,Full story here: https://t.co/dB2qbDTMVI,2023-11-29 21:45:35+00:00
4,Bernie Sanders,"Billionaires buying candidates and elections is what oligarchy is all about. It's not just Nikki Haley or Republicans, it's both parties. We need real campaign finance reform and public funding of elections.",2023-11-29 17:37:40+00:00
5,Bernie Sanders,https://t.co/Q4NpgRfbJ7,2023-11-29 18:51:12+00:00
6,Bernie Sanders,"When a company like Amazon, worth over $1.5 trillion, owned by a man worth over $170 billion, gets fined just $7,000 after its unsafe working conditions led to the death of a 20-year-old worker, it's obvious that we must strengthen our woefully inadequate health and safety laws.",2023-11-27 17:31:27+00:00
7,Bernie Sanders,"From my family to yours – on behalf of Jane, our kids, grandkids, and myself – I would like to wish everyone a very happy Thanksgiving.",2023-11-23 15:55:47+00:00
8,Bernie Sanders,"Justice for Palestinians. Security for Israel. Please read the op-ed I wrote for the New York Times.
https://t.co/sdFZH35EFk",2023-11-22 15:46:04+00:00
9,Bernie Sanders,"Congratulations to Shawn Fain and the UAW for approving an historic union contract that will substantially increase wages and benefits for autoworkers. Now, let’s support the UAW as they go forward to build on this victory by organizing non-union plants throughout the country.",2023-11-20 18:10:49+00:00
10,Bernie Sanders,"Here is a simple moral proposition. No one in America, or anywhere in the world, should die or suffer unnecessarily because they cannot afford the medicine they need.
https://t.co/VIAe8OOQag",2023-11-20 15:52:01+00:00
11,Bernie Sanders,"Corporate greed is Pfizer tripling the price of Paxlovid to $1,390 a dose and quadrupling the price of its COVID vaccine to $115 while it made over $31 billion in profits last year and gave its CEO $33 million in compensation. Unacceptable. https://t.co/v4ypbsM5q5",2023-11-18 17:35:27+00:00
12,Bernie Sanders,"Nurses at Providence Regional Medical Center in Everett, Washington are on strike fighting for adequate staffing, fair wages, and safe working conditions for themselves and for the care of their patients. We must stand with them. https://t.co/YTQLhvVeQa",2023-11-17 16:39:19+00:00
13,Bernie Sanders,Congratulations to the Starbucks workers who are standing up against corporate greed &amp; launching the largest strike in Starbucks history today. It's long past time for Starbucks to end its illegal union busting &amp; negotiate a fair first contract with the workers. #RedCupRebellion,2023-11-16 15:40:55+00:00
14,Bernie Sanders,To ask for classrooms without mold or mice is not radical. Students and teachers deserve decent classroom conditions and teachers deserve decent pay. I stand with @pdxteachers and Portland teachers in their fight to make their schools better for students and themselves. https://t.co/ijrlH0oQHN,2023-11-16 01:12:47+00:00
15,Bernie Sanders,"I stand in solidarity with @UFCW_3000 Providence Regional Medical Center nurses on ULP strike in Everett, WA. Nurses are the backbone of American health care, and they deserve the adequate staffing and safe working conditions they need to deliver the care their patients deserve.",2023-11-14 20:59:44+00:00
16,Bernie Sanders,"I stand with @pdxteachers and the teachers in Portland, Oregon who are fighting for better working conditions and the school support they need to provide the education our students deserve. We must protect teachers' right to stand up for themselves and their students.",2023-11-14 18:00:21+00:00
17,Bernie Sanders,"Today, on Veterans Day, let us honor our veterans, their families, and loved ones. We owe them a debt of gratitude we will never be able to truly repay. https://t.co/ty1K4g9emD",2023-11-11 17:30:39+00:00
18,Bernie Sanders,"President Biden is right. If workers at non-union auto plants like Tesla, Toyota, Honda, BMW, Nissan and Volkswagen want to improve their wages, working conditions, benefits and pensions they should organize to form a union and collectively bargain strong contracts.",2023-11-10 22:58:41+00:00
19,More Perfect Union,"NEW: President Biden calls for non-union autoworkers across Tesla, Toyota, etc., to organize with @UAW.

“Join, organize, picket, protest,” he told us. “You have a right to form a union, and you cannot be stopped. You cannot be intimidated.” https://t.co/2LzZWqlMq4",2023-11-10 18:45:21+00:00
20,Bernie Sanders,"This is why we need a strong trade union movement. The UAW negotiates an excellent contract for its union workers and, lo and behold, Honda and Toyota increase the wages of their non-union workers in the US. When union workers win better wages and benefits it benefits all of us.",2023-11-10 20:10:05+00:00
21,Bernie Sanders,"On Tuesday, we saw a grassroots movement come together in Ohio and make it clear that we must protect a women's right to control her own body and move forward on legalizing marijuana. https://t.co/nhI5hvq32i",2023-11-09 16:36:14+00:00
22,Bernie Sanders,"Congratulations to the voters in Ohio for making it clear that women have the right to control their own bodies, not politicians.",2023-11-08 02:45:25+00:00
23,Men's Health Mag,Crush your goals with Men's Health MVP.,2023-11-21 20:25:49+00:00
24,Bernie Sanders,"ELECTION DAY IN MAINE: Mainers have a chance to take control of an important part of their daily life by voting YES on Question 3. Maine can have cheaper, more reliable power – and fight climate change at the same time. Get out and vote! 
 https://t.co/enwIZ0ULet",2023-11-07 11:03:57+00:00
25,Bernie Sanders,".@AIPAC has supported dozens of GOP extremists who are undermining our democracy. They’re now working hard to defeat progressive members of Congress. We won’t let that happen. Let us stand together in the fight for a world of peace, economic and social justice and climate sanity.",2023-11-05 20:23:58+00:00
26,Bernie Sanders,"The immediate task is to stop the bombing, end the horrific humanitarian disaster in Gaza, and go forward with the entire world toward a two-state solution. https://t.co/6VktJQ1cwX",2023-11-05 18:04:48+00:00
27,Bernie Sanders,"Israel's indiscriminate bombing is hitting hospitals, refugee camps, and killing thousands of innocent people. It must stop now. https://t.co/WA2x2Gosti",2023-11-04 16:47:30+00:00
28,Bernie Sanders,".@JustinBrannan fights for working families. As a leading member of the City Council, he’s focused on delivering real results for his constituents and building a future for New York City based on justice for all. I’m proud to endorse his campaign.",2023-11-03 13:38:59+00:00
29,Bernie Sanders,"Ady Barkan was an inspiration to all of us. There are very few people in this country who have done more to make health care a human right. To honor his life, let us dedicate ourselves to completing his work. https://t.co/LlC6eD7c0L",2023-11-02 03:11:41+00:00
30,Bernie Sanders,It’s time for the leaders of General Motors to recognize the worth of the workers who make their record profits possible. https://t.co/10YescXaGu,2023-10-30 01:41:24+00:00
31,Bernie Sanders,Congratulations to the UAW for standing up to corporate greed. The strong pro-worker contracts negotiated with Ford and Stellantis are helping to rebuild the American middle class. GM. You’re next.,2023-10-28 19:10:20+00:00
32,Bernie Sanders,"Another day in America, another horrific shooting. No one needs a military weapon designed to massacre people. We must ban assault weapons in the United States NOW.",2023-10-26 19:50:18+00:00
33,Bernie Sanders,"I want to congratulate the @UAW for their historic tentative agreement with @Ford. When workers fight back against corporate greed, they win. It’s time for @Stellantis and @GM to get serious and negotiate a fair contract for their workers. The American people are watching.",2023-10-26 00:34:48+00:00
34,UAW,Record profits mean record contracts. We have a tentative agreement at Ford. #StandUpUAW https://t.co/Z00T5CfQJN,2023-10-26 00:27:36+00:00
35,The Philadelphia Inquirer,Gameday Central: Eagles vs 49ers https://t.co/H9cJ4RcoGk,2023-12-03 20:00:13+00:00
36,Bernie Sanders,.@SkyWestAirlines must reinstate the two flight attendants the company terminated for organizing a union with @AFA_CWA. Creating company unions are an illegal union busting tactic. Follow the law!,2023-10-20 13:22:32+00:00
37,Bernie Sanders,"I stand in solidarity with the workers of UAW Local 997 in Newton, Iowa who have been out on strike for more than 2 months. They are fighting for fair wages and healthcare costs, and a better work-life balance. I call on their employer, Thombert, Inc., to bargain in good faith.",2023-10-19 16:12:50+00:00
38,Bernie Sanders,It is no great secret that the corporate media is not particularly sympathetic to unions and the needs of the working class. CNBC’s Jim Cramer’s recent comments are an example of that. Here’s how @UAW members responded. https://t.co/qTaLr70Qlk,2023-10-06 00:10:31+00:00
39,Bernie Sanders,"I wanted to say a few words today about our broken, dysfunctional health care system and give you an update on an important bipartisan bill that will be significant step forward. https://t.co/9QekaBLmmU",2023-10-03 13:41:51+00:00
40,Bernie Sanders,"What the UAW is fighting for is not radical. It is the totally reasonable demand that autoworkers, who have made enormous financial sacrifices over the past 40 years, finally receive a fair share of the record-breaking profits that their labor has generated. https://t.co/oykpjh9ew6",2023-09-28 14:00:02+00:00
41,Austin Scholar,"The worst thing you can do to your Kindergartener is…put them in Kindergarten. 

Our 100-year-old education system will dramatically curb your kid’s potential.

But, there's another option.

Follow me @austinscholar to learn more about it.",2023-10-16 18:47:27+00:00
42,Bernie Sanders,"Too often, the needs of young people are ignored. When I was mayor of Burlington, we established a Youth Office to involve our youth in a host of programs. One of the most successful was called 242 Main. Watch this video from the @TheSandersInst on it. https://t.co/JYxSeT1WGp",2023-09-23 14:18:50+00:00
43,Bernie Sanders,"If the big three can afford to give a pay raise of more than 40% to their CEOs, they can provide the same type of pay raise for the autoworkers who make their products. https://t.co/Rw1S2jML0h",2023-09-22 20:43:28+00:00
44,Bernie Sanders,"What the UAW understands, and all of us should remember, is that over the last 50 years there has been a massive redistribution of wealth in America. Their fight against corporate greed is the fight to improve the lives of every worker in America. https://t.co/5Ny5ITQ6Nr",2023-09-22 14:30:01+00:00
45,Bernie Sanders,"At a time when CEOs are making 400x more than the average worker, the American people are asking a simple question: Which side are you on? https://t.co/YG7h03SAV5",2023-09-20 00:57:03+00:00
46,Bernie Sanders,"If new technology makes us a more productive society, the benefits should go to the workers – not just to those on top. https://t.co/MnAsvV7aNk",2023-09-19 00:43:19+00:00
47,Bernie Sanders,"SOLIDARITY WITH THE UAW: On Friday, I spoke to autoworkers on strike in Detroit. If you missed the rally, you can watch it now. https://t.co/j9X7wfrGlb",2023-09-18 00:00:52+00:00
48,Bernie Sanders,"I would like to say a few words to the CEOs of General Motors, Ford, and Stellantis. https://t.co/HZGopwjrgB",2023-09-16 21:25:17+00:00
49,Bernie Sanders,"Too often, the needs of young people are ignored. When I was mayor of Burlington, we established a Youth Office to involve our youth in a host of programs. One of the most successful was called 242 Main. Watch this video from the @TheSandersInst on it.  https://t.co/0uhbs9g8yI",2023-09-16 17:24:56+00:00
50,Bernie Sanders,LIVE FROM DETROIT: The @UAW is fighting for all of us. Let’s stand TOGETHER against corporate greed and in solidarity with striking workers. https://t.co/z1O5Iy16iF,2023-09-15 20:59:41+00:00
51,Bernie Sanders,Here's my message to CEOs who think they alone can have it all. https://t.co/z0C7oCeoby,2023-09-15 17:45:08+00:00
