,Name,Text,Time
0,Ilhan Omar,"I condemn the horrific acts we are seeing unfold today in Israel against children, women, the elderly, and the unarmed people who are being slaughtered and taken hostage by Hamas. Such senseless violence will only repeat the back and forth cycle we've seen, which we cannot allow to continue. We need to call for deescalation and ceasefire. I will keep advocating for peace and justice throughout the Middle East.",2023-10-07 18:53:58+00:00
1,Ilhan Omar,"I visited Big Brothers Big Sisters Twin Cities, a youth mentoring organization that serves over 2,500 children in the Minneapolis area. Last year they served 2,593 kids though mentoring, arts programs, career readiness and more! https://t.co/kHnOTJnFt3",2023-12-04 20:56:35+00:00
2,Ilhan Omar,"RT @amanpour: Josh Paul resigned from the State Dept over sending arms to Israel. “I have heard from actually so many hundreds of colleagues at this point who support what I did,” he says. “They are finding what is happening both a moral disaster and a policy disaster for the United States.” https://t.co/1M07cxeAwG",2023-12-04 19:46:06+00:00
3,Christiane Amanpour,"Josh Paul resigned from the State Dept over sending arms to Israel. “I have heard from actually so many hundreds of colleagues at this point who support what I did,” he says. “They are finding what is happening both a moral disaster and a policy disaster for the United States.” https://t.co/1M07cxeAwG",2023-12-04 18:41:24+00:00
4,Ilhan Omar,"RT @AJEnglish: ""A death zone.""

Over 700 Palestinians killed in the last 24 hours as Israel intensifies strikes on the besieged Gaza Strip. https://t.co/YowR67tgbk",2023-12-04 16:43:09+00:00
5,Al Jazeera English,"""A death zone.""

Over 700 Palestinians killed in the last 24 hours as Israel intensifies strikes on the besieged Gaza Strip. https://t.co/YowR67tgbk",2023-12-03 14:56:49+00:00
6,Ilhan Omar,"RT @justicedems: ""We give $3.8 billion/year to the Israeli government and that should obviously come with some critique—it comes with no conditions at all. That's the extent of the criticism that illicits this type of response from AIPAC...it's shocking what they do to democracy.""

-@SummerForPA https://t.co/n8V8R0AuMf",2023-12-04 01:43:31+00:00
7,Justice Democrats,"""We give $3.8 billion/year to the Israeli government and that should obviously come with some critique—it comes with no conditions at all. That's the extent of the criticism that illicits this type of response from AIPAC...it's shocking what they do to democracy.""

-@SummerForPA https://t.co/n8V8R0AuMf",2023-12-04 00:11:12+00:00
8,Ilhan Omar,Congratulations Governor Walz! Minnesota under the Walz-Flanagan Administration continues to lead the country with transformative progressive policy,2023-12-03 20:05:13+00:00
9,Tim Walz,"BIG NEWS: I’m proud to announce that I will be the next Chair of the Democratic Governors Association.

@DemGovs have some big goals in 2024, including keeping the North Carolina governor’s office blue and flipping critical states like New Hampshire.",2023-12-03 00:45:32+00:00
10,Ilhan Omar,RT @TimMynett: Glamour shot https://t.co/9o1Kt9aljj,2023-12-03 19:11:43+00:00
11,Tim Mynett,Glamour shot https://t.co/9o1Kt9aljj,2023-12-03 19:03:19+00:00
12,Ilhan Omar,"RT @RepAndreCarson: I agree with @SenPeterWelch. Negotiations led to the release of hostages—not military aggression, which resulted in the slaughter of thousands of innocent civilians. We need to extend the ceasefire, make it permanent, and work towards a lasting two-state solution.",2023-12-03 01:25:20+00:00
13,André Carson,"I agree with @SenPeterWelch. Negotiations led to the release of hostages—not military aggression, which resulted in the slaughter of thousands of innocent civilians. We need to extend the ceasefire, make it permanent, and work towards a lasting two-state solution.",2023-12-02 20:33:36+00:00
14,Senator Peter Welch,"Today, I am calling for an indefinite extension to the ceasefire in Gaza.
 
My full statement ⬇️
https://t.co/GMNlhaBzmk",2023-11-28 20:04:10+00:00
15,Ilhan Omar,"RT @RepRashida: Hisham, Kinnan, and Tahseen, all Palestinian students, were shot while speaking Arabic and wearing the same keffiyehs that I wear. The dehumanizing rhetoric repeated by our elected officials is inciting violence against Palestinians and it must stop. https://t.co/HwAm8hZIsT",2023-12-02 21:50:32+00:00
16,Congresswoman Rashida Tlaib,"Hisham, Kinnan, and Tahseen, all Palestinian students, were shot while speaking Arabic and wearing the same keffiyehs that I wear. The dehumanizing rhetoric repeated by our elected officials is inciting violence against Palestinians and it must stop. https://t.co/HwAm8hZIsT",2023-12-02 19:05:34+00:00
17,Ilhan Omar,"RT @RepBeccaB: Dehumanizing, Islamophobic, anti-Arab rhetoric has violent consequences.

For Hisham, Kinnan, Tahseen, and for all Palestinian Americans, we need to make it crystal clear that we stand against this kind of hate and bigotry. https://t.co/T4YjMexhoi",2023-12-02 00:24:48+00:00
18,Rep. Becca Balint,"Dehumanizing, Islamophobic, anti-Arab rhetoric has violent consequences.

For Hisham, Kinnan, Tahseen, and for all Palestinian Americans, we need to make it crystal clear that we stand against this kind of hate and bigotry. https://t.co/T4YjMexhoi",2023-12-01 19:55:53+00:00
19,Ilhan Omar,"RT @tparsi: “The siege itself is a genocide.”

Former Chief Prosecutor of the International Criminal Court @MorenoOcampo1 argues that the siege of Gaza is itself a genocide because it creates the condition to destroy a people and because of the intent expressed by Israeli leaders.",2023-12-01 23:30:51+00:00
20,Trita Parsi,"“The siege itself is a genocide.”

Former Chief Prosecutor of the International Criminal Court @MorenoOcampo1 argues that the siege of Gaza is itself a genocide because it creates the condition to destroy a people and because of the intent expressed by Israeli leaders.",2023-12-01 21:00:40+00:00
21,Ilhan Omar,"Your destiny, my destiny and the destiny of people around the world are linked. 

Solidarity with the UAW for their courageous stance!",2023-12-01 22:24:52+00:00
22,Shawn Fain,"I am proud that the UAW International Union is calling for a ceasefire in Israel and Palestine. From opposing fascism in WWII to mobilizing against apartheid South Africa and the CONTRA war, the @UAW has consistently stood for justice across the globe..",2023-12-01 17:34:35+00:00
23,ONYX BOOX,"🤖Aided by our latest AI features, you can draw perfect shapes and remove unwanted notes with one easy stroke. Manage your ideas and unleash your imagination in a smarter way with #NoteAir3C now.",2023-10-30 09:23:29+00:00
24,Ilhan Omar,A majority of House Republicans voted to keep George Santos in Congress. Let that sink in for a second.,2023-12-01 21:49:55+00:00
25,Ilhan Omar,"This is a shockingly disturbing report, confirming what many of us feared about the targeting of civilians in Gaza.

Given everything we know, how can we continue to hand the IDF a blank check without any conditions?",2023-12-01 16:33:15+00:00
26,David Grossman,This @972mag report might be some of the most important reporting of this war https://t.co/lL8AtuLTV2 https://t.co/iUiIxTN3u5,2023-11-30 20:28:28+00:00
27,Ilhan Omar,"Mehdi is one of the most brilliant and most prominent Muslim journalists in the U.S. 

It is deeply troubling that MSNBC is cancelling his show amid a rampant rise of anti-Muslim bigotry and suppression of Muslim voices. Anyone who cares about free expression should be concerned.",2023-12-01 01:02:32+00:00
28,Ilhan Omar,"RT @RoKhanna: It is bad optics for MSNBC to cancel @mehdirhasan’s show right at a time when he is vocal for human rights in Gaza with the war ongoing. As a strong supporter of free speech, MSNBC owes the public an explanation for this decision. Why would they choose to do this now?",2023-11-30 17:57:41+00:00
29,Ro Khanna,"It is bad optics for MSNBC to cancel @mehdirhasan’s show right at a time when he is vocal for human rights in Gaza with the war ongoing. As a strong supporter of free speech, MSNBC owes the public an explanation for this decision. Why would they choose to do this now?",2023-11-30 17:41:32+00:00
30,Ilhan Omar,"RT @MarcelleWahba: Has America ever held Israel accountable for its 50 years+ of inhumane oppression of Palestinians?? To the contrary, we give them diplomatic cover, fund them &amp; empower them to continue their barbaric policies without consequences.",2023-11-30 15:20:41+00:00
31,Ambassador Marcelle M.Wahba,"Has America ever held Israel accountable for its 50 years+ of inhumane oppression of Palestinians?? To the contrary, we give them diplomatic cover, fund them &amp; empower them to continue their barbaric policies without consequences.",2023-11-30 12:10:05+00:00
32,Ambassador Linda Thomas-Greenfield,"We are deeply troubled by the sharp rise in violence by extremist Israeli settlers against Palestinians in the West Bank.

Extremist violence must stop – and those committing the violence must be held accountable.",2023-11-30 00:15:10+00:00
33,Ilhan Omar,"My heart aches for the people of Somalia, who have endured so much. 

We have been in touch with and will continue to press USAID about ways the United States can help with relief efforts. https://t.co/uS0I4feq5q",2023-11-29 22:27:50+00:00
34,Ilhan Omar,"This is deeply concerning and part of a pattern of extrajudicial killings and assassinations by the Indian government. 

We must seek full accountability for the Indian government—a government with a troubling record of human rights abuses.",2023-11-29 21:23:18+00:00
35,NBC News,BREAKING: Federal prosecutors announce charges against a man they say was “recruited” by an Indian government employee to assassinate a Sikh activist in New York City. https://t.co/mAqnNysdkK,2023-11-29 17:57:27+00:00
36,Ilhan Omar,RT @RawStory: 'Lies and misogyny': Rep. Omar blasts challenger for hurling Trump-esque 'sexist' insults https://t.co/MSPheyQbTH,2023-11-29 15:13:54+00:00
37,Raw Story,'Lies and misogyny': Rep. Omar blasts challenger for hurling Trump-esque 'sexist' insults https://t.co/MSPheyQbTH,2023-11-29 01:46:22+00:00
38,Xyvizo,"Light up your car roof, room, or celebrate birthdays with this portable starlight wonder! 🚗🏡 Perfect as a gift or for a cozy night ambiance. 
🎁💫Get it now:https://t.co/f3ijscPXNI https://t.co/TS8L1YPMqw",2023-11-24 20:26:56+00:00
39,Ilhan Omar,"RT @AudreyTruschke: Huge deal.

US law enforcement has an Indian national in custody indicted of attempting to assassinate a US citizen on the orders of BJP Indian government officials.

They will try him, which means a lot may come out in court.

https://t.co/J4QXV6fF2x",2023-11-29 16:47:11+00:00
40,Dr. Audrey Truschke,"Huge deal.

US law enforcement has an Indian national in custody indicted of attempting to assassinate a US citizen on the orders of BJP Indian government officials.

They will try him, which means a lot may come out in court.

https://t.co/J4QXV6fF2x",2023-11-29 15:15:52+00:00
41,Ilhan Omar,"I condemn the horrific acts we are seeing unfold today in Israel against children, women, the elderly, and the unarmed people who are being slaughtered and taken hostage by Hamas. Such senseless violence will only repeat the back and forth cycle we've seen, which we cannot allow to continue. We need to call for deescalation and ceasefire. I will keep advocating for peace and justice throughout the Middle East.",2023-10-07 18:53:58+00:00
