,Name,Text,Time
0,Chuck Schumer,"The holdup on the security supplemental hasn't been over Ukraine or Israel but over Republicans’ decision to inject hard-right immigration measures

We've engaged in good faith

But Republicans have tripled down on extreme policies that seem dictated by Trump and Stephen Miller",2023-12-04 23:29:28+00:00
1,Chuck Schumer,"This is exactly what I was talking about in my address in the Senate.

Targeting a Jewish business just because it is Jewish is antisemitism, pure and simple.

As Americans, we must stand together to condemn it.",2023-12-04 23:13:24+00:00
2,Jordan Van Glish,"Protestors in Philadelphia stand outside of a Jewish &amp; Israeli owned falafel restaurant

“Goldie, Goldie you can’t hide, we charge you with genocide” https://t.co/yF7hQwev66",2023-12-03 22:27:57+00:00
3,Chuck Schumer,"Autocrats and radical extremists are waging war against democracy, our values, our way of life.

We're working to pass an emergency national security package with aid to Israel, Ukraine, humanitarian aid to civilians in Gaza, and deterrence against adversaries in the Indo-Pacific",2023-12-04 23:12:15+00:00
4,Chuck Schumer,"So much fun to congratulate Queen Latifah on becoming a Kennedy Center honoree!

#KennedyCenterHonors @IAMQUEENLATIFAH https://t.co/N3utDagDGF",2023-12-04 23:00:52+00:00
5,Chuck Schumer,"An extraordinary moment getting to celebrate Rochester’s own @ReneeFleming from Churchville, New York as she became a Kennedy Center honoree!

#KennedyCenterHonors https://t.co/tmwt43fQ7e",2023-12-04 22:54:47+00:00
6,Chuck Schumer,"I love New York, and Billy Crystal is one incredible New Yorker.

What a joy to see Long Beach’s @BillyCrystal become a Kennedy Center honoree!

#KennedyCenterHonors @LongBeach11561 https://t.co/7MoAuIei8t",2023-12-04 22:45:27+00:00
7,Chuck Schumer,"I’m heartbroken by the passing of Andrés Gallegos, who I had nominated and was serving as Chairman of @NatCounDis.

He fought for the rights of Americans with disabilities.

I’m praying for his family and everyone who knew and loved him. https://t.co/2lx1fhq31u",2023-12-04 21:06:27+00:00
8,Chuck Schumer,"RT @allen_ai: ""Grateful to participate in the AI Insight Forum focused on transparency, explainability, copyright, &amp; IP. Thank you @SenSchumer, @SenatorHeinrich, @SenatorRounds, and @SenToddYoung for the opportunity to join &amp; for continuing to lead on informed AI policy."" - AI2 CEO Ali Farhadi https://t.co/dx3qvFi8pb",2023-12-04 19:16:19+00:00
9,Allen Institute for AI,"""Grateful to participate in the AI Insight Forum focused on transparency, explainability, copyright, &amp; IP. Thank you @SenSchumer, @SenatorHeinrich, @SenatorRounds, and @SenToddYoung for the opportunity to join &amp; for continuing to lead on informed AI policy."" - AI2 CEO Ali Farhadi https://t.co/dx3qvFi8pb",2023-11-30 20:14:07+00:00
10,Chuck Schumer,"RT @McIn_DC: Thank you @SenSchumer for ensuring @IATSE worker voices were heard at the AI Insight Forums, as the Senate pursues AI legislation. 

AI should not lead to job losses but should serve as a tool, complementing the work done by our members. https://t.co/Wdw0HIMwLS",2023-12-04 19:16:13+00:00
11,Tyler McIntosh,"Thank you @SenSchumer for ensuring @IATSE worker voices were heard at the AI Insight Forums, as the Senate pursues AI legislation. 

AI should not lead to job losses but should serve as a tool, complementing the work done by our members. https://t.co/Wdw0HIMwLS",2023-11-29 23:44:30+00:00
12,IATSE // #IASolidarity,"🚨BREAKING: IATSE’s Vanessa Holtgrewe Participates in US Senate AI Insight Forum, Urges Congress to Protect Workers, Copyright
https://t.co/w7PrVyzGn3",2023-11-29 21:01:40+00:00
13,Chuck Schumer,"Thanks to @theGrio for talking with me about how we’re working to ensure we safeguard our elections from the potential biases of AI, especially for people of color.

We're working for legislation to help maximize AI’s benefits while minimizing its risks.

https://t.co/WPhfY95wOO",2023-12-04 15:27:24+00:00
14,Chuck Schumer,"Tune in at 11:30am ET live from the @UN for “Hear Our Voices: Sexual and Gender-Based Violence in the October 7th Hamas Terror Attack.”

We all must condemn this and all sexual and gender-based violence.

https://t.co/gAr1pUDUmA",2023-12-04 13:58:26+00:00
15,Chuck Schumer,"RT @NYCMayor: Parents should take a moment to listen to @SenSchumer's powerful words with their children. He's not just speaking for our Jewish community. He's speaking for our entire city. 

We cannot allow hate to go unchecked.",2023-12-04 04:13:20+00:00
16,Mayor Eric Adams,"Parents should take a moment to listen to @SenSchumer's powerful words with their children. He's not just speaking for our Jewish community. He's speaking for our entire city. 

We cannot allow hate to go unchecked.",2023-12-02 16:06:18+00:00
17,Chuck Schumer,"For many Jewish people, this feels like a matter of survival, informed once again by history—in this case, very personal history.

Today, in my address on the dangerous and disturbing rise of antisemitism in America, I told the story of my own family on the Senate floor. https://t.co/i74X3Wexjl",2023-11-29 20:01:34+00:00
18,Chuck Schumer,"The rise of antisemitism is a five-alarm fire that must be extinguished.

On my major address on the Senate floor this week on the dangerous and disturbing rise of antisemitism in America: https://t.co/eMDOaG5HbJ",2023-12-02 18:25:08+00:00
19,Chuck Schumer,"68 years ago today, Rosa Parks refused to give up her seat on a bus in Montgomery, Alabama, helping launch the Montgomery Bus Boycott.

We honor her legacy and continue her fight for civil rights for all.

#RosaParksDay https://t.co/nM9ppS8SJS",2023-12-01 19:14:45+00:00
