,Name,Text,Time
0,Ted Cruz,"Today is the day! 

My new book, Unwoke, is officially released and available everywhere. 

Order the game plan to save America today!
https://t.co/7l7EWiLwqM https://t.co/ggTKv41DX8",2023-11-07 16:26:00+00:00
1,Ted Cruz,"RT @stinchfield1776: The producers call it the ""most triggering"" move of the year.  This is proof! #LadyBallers #DWPartner #ad  https://t.co/U36A9XuFSJ",2023-12-04 23:02:10+00:00
2,Grant Stinchfield,"The producers call it the ""most triggering"" move of the year.  This is proof! #LadyBallers #DWPartner #ad  https://t.co/U36A9XuFSJ",2023-12-01 18:09:21+00:00
3,Ted Cruz,👀,2023-12-04 22:48:05+00:00
4,Charlie Kirk,"NEW—Video out of California shows a group of illegals breaking into the country comprised of mostly military-age Chinese men.

The invasion continues, and it's by design.

Video by @NewsNation's Jorge @VenturaReport https://t.co/p7JGANcTjt",2023-12-04 18:32:03+00:00
5,Ted Cruz,"In Van Orden v. Perry, a homeless man walked by a statue of the Ten Commandments displayed outside the Texas State Capitol. He was offended and filed a federal suit to tear down the statue.

We won at the Fifth Circuit, but @GregAbbott_TX and I decided to take the case to the Supreme Court so that we could get a major victory for religious freedom nationwide.

On Verdict, @benfergusonshow and I take you behind the scenes in this epic battle for the First Amendment.
https://t.co/75d4JMzF6C",2023-12-04 22:38:38+00:00
6,Ted Cruz,"RT @greg_price11: BREAKING: Joe Biden received direct monthly payments beginning in 2018 from Hunter Biden's LLC Owasco PC, which received millions of dollars of CCP linked payments, according to redacted bank records released today by @GOPoversight. https://t.co/PIJFBni45K",2023-12-04 21:50:34+00:00
7,Greg Price,"BREAKING: Joe Biden received direct monthly payments beginning in 2018 from Hunter Biden's LLC Owasco PC, which received millions of dollars of CCP linked payments, according to redacted bank records released today by @GOPoversight. https://t.co/PIJFBni45K",2023-12-04 17:09:38+00:00
8,Ted Cruz,"It’s sad how extreme the Texas Democrat Party has gotten. 

Now they are parroting the Squad’s anti-Israel rhetoric &amp; advocating in defense of Hamas.

Does @ColinAllredTX agree?

Does @RolandForTexas agree?

Has either had the courage to denounce the TX Dems’ extremist position?",2023-12-04 19:46:35+00:00
9,NewsWire,"TEXAS DEMOCRATIC PARTY CALLS FOR CEASEFIRE IN ISRAEL-GAZA, FIRST IN NATION",2023-12-02 18:55:48+00:00
