,Name,Text,Time
0,Anderson Cooper,"Season 2 of #AllThereIs, my podcast about facing grief and learning from loss starts today. Episode 1 is available on @ApplePodcasts and @Spotify or wherever you get your podcasts. Link here: https://t.co/fqOubvSJAV https://t.co/nAA4KePAAv",2023-11-29 12:56:18+00:00
1,Anderson Cooper,"my co-writer on VANDERBILT and ASTOR, @katherinebhowe has written a wonderful historical novel. It comes out today!  Order at https://t.co/H2b0zAbaJd https://t.co/vCujK5ITf5",2023-11-21 18:51:13+00:00
2,Ververica,Check out this comprehensive guide on PyFlink - a powerful framework for processing data streams and batch data in Apache Flink!,2023-08-03 11:21:00+00:00
3,Anderson Cooper,Spoke with @POTUS about grief and loss for season 2 of my podcast ALL THERE IS. Season 2 starts November 29th.  Season 1 is available now wherever you get your podcasts. https://t.co/fXRrdTOsZS,2023-11-09 16:14:22+00:00
4,Anderson Cooper,"RT @jaketapper: Fans of @AndersonCooper! Now’s your chance to meet him and get autographed books!

Bid now on this opportunity — all proceeds go to build specially designed mortgage free homes for severely wounded US veterans via @HomesForOurTrps!! 

https://t.co/95rlQsFaQO  #HFOTAuction2023",2023-11-08 19:36:00+00:00
5,Jake Tapper,"Fans of @AndersonCooper! Now’s your chance to meet him and get autographed books!

Bid now on this opportunity — all proceeds go to build specially designed mortgage free homes for severely wounded US veterans via @HomesForOurTrps!! 

https://t.co/95rlQsFaQO  #HFOTAuction2023",2023-11-07 13:52:45+00:00
6,Anderson Cooper,"What happened at the music festival last Saturday is just now becoming more clear, particularly the killings inside bomb shelters where people were hiding",2023-10-15 11:38:42+00:00
7,CNN,"The Israeli Defense Forces took CNN’s @AndersonCooper to visit the site of the Nova music festival, where 260 people were killed. Watch the report for @AC360: https://t.co/pBHohHt5XV",2023-10-14 04:05:46+00:00
8,Anderson Cooper,My new book ASTOR - The Rise And Fall Of An American Fortune debuted at #3 on the NYTimes Bestseller List! Link in bio to order! https://t.co/Ov02A4mjYT,2023-09-29 22:48:27+00:00
9,Anderson Cooper,My new book ASTOR just debuted at #3 on the @nytimes bestseller list! Link in bio to purchase! @katherinebhowe https://t.co/7emkVZCsS2,2023-09-28 21:39:22+00:00
10,Anderson Cooper,Early praise for my new book ASTOR - The Rise And Fall Of An American Fortune. Link in bio to order! https://t.co/TIojQxdkvF,2023-09-22 14:12:58+00:00
11,Anderson Cooper,My new book ASTOR - The Rise And Fall Of An American Fortune is out now! https://t.co/Wb0J2yOhXI,2023-09-20 18:58:37+00:00
12,Anderson Cooper,"RT @HarvardBooks: 🗓️ Fri, Sep 22, 7PM in Boston: CNN's @andersoncooper and @katherinebhowe present their new book 'Astor,'—“a spirited saga of glitz and greed""—a followup to their best seller 'Vanderbilt.'

Tickets include a signed book: 🎟️ https://t.co/kUdmcQhKDf https://t.co/CA7USRrFYN",2023-08-23 18:52:18+00:00
13,Harvard Book Store,"🗓️ Fri, Sep 22, 7PM in Boston: CNN's @andersoncooper and @katherinebhowe present their new book 'Astor,'—“a spirited saga of glitz and greed""—a followup to their best seller 'Vanderbilt.'

Tickets include a signed book: 🎟️ https://t.co/kUdmcQhKDf https://t.co/CA7USRrFYN",2023-08-22 11:53:41+00:00
14,Anderson Cooper,"This came in the mail today! If you’d like to pre-order my new book ASTOR - The Rise and Fall of an American Dynasty, co-written with @katherinebhowe, the link is in my bio! @harperbooks https://t.co/m4xZOhrHY5",2023-07-11 16:28:23+00:00
15,Anderson Cooper,My friend @MitchAlbom oversees an orphanage &amp; school in #Haiti that is caught in the crossfire of gang violence. He is raising funds to help increase security in a very difficult situation. I’ve donated. If interested here is more information. https://t.co/mEugKsvVch,2023-05-16 14:32:53+00:00
16,Anderson Cooper,"RT @60Minutes: Photographer James Nachtwey has made a career covering the world’s most violent conflicts. This Sunday, he tells @andersoncooper why documenting acts of compassion in the darkest times makes him believe in humanity. https://t.co/HyF7kv38Lk",2023-05-06 18:24:23+00:00
17,60 Minutes,"Photographer James Nachtwey has made a career covering the world’s most violent conflicts. This Sunday, he tells @andersoncooper why documenting acts of compassion in the darkest times makes him believe in humanity. https://t.co/HyF7kv38Lk",2023-05-06 13:40:00+00:00
18,Anderson Cooper,"RT @pressfreedom: Evan Gershkovich is a journalist, not a spy.

Tweet your support of American @WSJ journalist @evangershkovich, currently detained by Russian authorities: https://t.co/qZR5whGRtW

Join CPJ, global media orgs & press freedom groups in calling for his immediate, unconditional release.

#FreeThePress #JournalismIsNotACrime #IStandWithEvan #FreeEvan #FreeEvanGershkovich",2023-04-05 20:26:00+00:00
19,Committee to Protect Journalists,"Evan Gershkovich is a journalist, not a spy.

Tweet your support of American @WSJ journalist @evangershkovich, currently detained by Russian authorities: https://t.co/qZR5whGRtW

Join CPJ, global media orgs & press freedom groups in calling for his immediate, unconditional release.

#FreeThePress #JournalismIsNotACrime #IStandWithEvan #FreeEvan #FreeEvanGershkovich",2023-04-04 21:55:25+00:00
20,Anderson Cooper,https://t.co/8GemyKkOTo,2023-01-09 17:09:43+00:00
21,60 Minutes,"“I'm starting to comprehend the position that she was in as a mother, single parent trying to look after two boys with this intense media harassment.”

Prince Harry tells @andersoncooper fatherhood helps him understand Princess Diana in new ways. https://t.co/EZoUVyFlPr https://t.co/Cc6RjTqrc6",2023-01-09 16:29:30+00:00
22,Anderson Cooper,"RT @60Minutes: Prince Harry tells @andersoncooper, ""I was probably bigoted before the relationship with Meghan."" See the interview, Sunday on 60 Minutes. https://t.co/5XclKEFFVY https://t.co/ALdU3golBB",2023-01-06 00:00:33+00:00
23,60 Minutes,"Prince Harry tells @andersoncooper, ""I was probably bigoted before the relationship with Meghan."" See the interview, Sunday on 60 Minutes. https://t.co/5XclKEFFVY https://t.co/ALdU3golBB",2023-01-05 23:44:31+00:00
24,Anderson Cooper,https://t.co/m4Q7Ljg2iR,2023-01-02 02:03:02+00:00
25,60 Minutes,"Anderson Cooper will interview Prince Harry on 60 Minutes next Sunday, January 8, on CBS. It will be Prince Harry’s first U.S. television interview to discuss his upcoming memoir “Spare.” https://t.co/fF1Sppo62X https://t.co/ylwzxJ6NzV",2023-01-02 01:24:18+00:00
26,Anderson Cooper,"Last episode of All There Is, my podcast about loss and grief is now available on @ApplePodcasts. It is perhaps the most powerful episode yet. https://t.co/E0dF4lfEMM",2022-11-02 12:44:12+00:00
27,Anderson Cooper,"Just posted a new episode of All There Is, my podcast about loss and grief. #LaurieAnderson @OnlyAnExpert joins me to talk about the loss of her husband #LouReed. It’s a moving, fascinating, and often funny conversation. Available on @ApplePodcasts or wherever you get podcasts. https://t.co/JSIsiClnru",2022-10-20 20:23:41+00:00
28,Anderson Cooper,"Just posted a new episode of All There Is, my podcast about loss and grief. #LaurieAnderson @OnlyAnExpert joins me to talk about the loss of her husband #LouReed. It’s a moving, fascinating, and often funny conversation. Available on @ApplePodcasts now. https://t.co/6ke3IhFe3f",2022-10-20 20:22:21+00:00
29,Anderson Cooper,listen to the new episode of All There Is - this one is about anticipatory grief which one feels watching someone your love disappear due to dementia or terminal illnesss. https://t.co/hIo4fOMJPL https://t.co/xfAZeGUpck,2022-10-12 14:59:58+00:00
30,Anderson Cooper,"Just out today! Episode 5 of my podcast about grief and loss. It’s about the long decline from dementia of one of the most important people in my life, May McLinden, and i interview filmmaker Kirsten Johnson about dealing with anticipatory grief. https://t.co/wClvOm5BcD",2022-10-12 14:55:30+00:00
31,Anderson Cooper,"RT @jamieblynn: In a deeply personal conversation, i spoke to @andersoncooper about how the deaths of his mom, dad &amp; brother impacted the course of his life: “I am the person I am because of the losses I have experienced &amp; the love that I have for these people.” @enews
https://t.co/tlVaMyHXyr",2022-10-12 14:52:50+00:00
32,Jamie Blynn,"In a deeply personal conversation, i spoke to @andersoncooper about how the deaths of his mom, dad &amp; brother impacted the course of his life: “I am the person I am because of the losses I have experienced &amp; the love that I have for these people.” @enews
https://t.co/tlVaMyHXyr",2022-10-12 12:20:18+00:00
33,Anderson Cooper,"Just posted episode 4 of ALL THERE IS, my new podcast about grief and loss. I have a really personal, and at times really funny, talk with #MollyShannon about the sometimes unusual, life-long ripple effects of childhood loss. https://t.co/hIo4fOv8Yd https://t.co/MfUx0ao97U",2022-10-07 00:16:49+00:00
34,Anderson Cooper,"Episode 4 of my podcast ALL THERE IS is available now on apple podcasts. https://t.co/m7BZOIayau. It’s a very personal, and at times very funny, talk with Molly Shannon about the ripple effects of loss and grief. https://t.co/XRBp0ZwC24",2022-10-07 00:16:48+00:00
35,Anderson Cooper,"Episode 3 of ALL THERE IS is out now. It’s a podcast about my Brother’s suicide and the ripple effects it had on my mom and me. @bjmillermd, whose sister, Lisa, died by suicide, joins me with some extremely helpful ways to look at loss and grief. https://t.co/hIo4fOvGNL https://t.co/mRsPNM2zOa",2022-09-28 18:21:56+00:00
36,Anderson Cooper,"Ep. 3 of ALL THERE IS, a podcast about loss and grief, is now available @ApplePodcasts. It’s a deeply personal look at my brother’s suicide and the ripple effects it’s had on my life. @bjmillermd helps me look at grief in a new way, and can help you too. https://t.co/m7BZOHSXiW https://t.co/vr6nKkuCX3",2022-09-28 15:47:40+00:00
37,Anderson Cooper,"Episode 3 of ALL THERE IS is out now! It’s about the people suicide leaves behind and the ripple effects of loss in our lives.  Joining me is @bjmillermd. He helped me look at grief in a new way, and can help you do that too. Here is link to listen: https://t.co/hIo4fOv8Yd https://t.co/5nLaoiwdZq",2022-09-28 15:35:43+00:00
38,Anderson Cooper,"Few in public life speak so honestly and poignantly about their experiences with grief as @StephenAtHome. This new conversation is extraordinarily moving, honest, and at time hilarious. Listen to #AllThereIs @ApplePodcasts  https://t.co/m7BZOHTv8u https://t.co/AUuLURwp6h",2022-09-21 16:27:32+00:00
