,Name,Text,Time
0,Joe Biden,"The new Republican Speaker of the House visited Florida to tour the construction of a new airport terminal that’s going to create thousands of jobs over time.

He voted against the law that made it possible, but now he’s taking credit for it.

As my mother would say, God love them.",2023-12-01 20:26:33+00:00
1,Joe Biden,"Investments we're making spurred by the Inflation Reduction Act are going to communities that historically get left behind. When I took office, I vowed I’d be president for all Americans, and we're delivering on that promise.",2023-12-01 00:30:02+00:00
2,Joe Biden,"Carmel-Ann and Giana, Jill and I had a great time meeting you both. https://t.co/1XUGYZm86p",2023-11-30 20:45:42+00:00
3,Joe Biden,"During my first month in office, I signed an executive order bringing supply chains home to get goods moving again.

Now, our supply chains are stronger than ever with backlogs, bottlenecks, and shipping rates at a 25-year low.",2023-11-30 17:40:01+00:00
4,Joe Biden,"Let me be clear to any corporation that hasn’t brought their prices back down even as inflation has come down: It’s time to stop the price gouging.

Give American consumers a break.",2023-11-30 15:29:00+00:00
5,Joe Biden,We passed the biggest investment in the history of the world to combat climate change without a single Republican vote.,2023-11-29 22:45:01+00:00
6,Joe Biden,"Junk fees can add up to hundreds of dollars, weighing down family budgets and making it harder for a family to pay their bills. 

Over the past two years, we have taken steps to crack down on unfair and deceptive junk fees from concerts, airlines, health care, and more.",2023-11-29 17:45:04+00:00
7,Joe Biden,"Hamas unleashed a terrorist attack because they fear nothing more than Israelis and Palestinians living side by side in peace.
 
To continue down the path of terror, violence, killing, and war is to give Hamas what they seek.

We can’t do that.",2023-11-28 22:00:07+00:00
8,Joe Biden,"A two-state solution is the only way to guarantee the long-term security of both the Israeli and the Palestinian people.

To make sure Israelis and Palestinians alike live in equal measure of freedom and dignity, we will not give up on working towards that goal.",2023-11-28 00:05:00+00:00
9,Joe Biden,"Yesterday, 13 more hostages were released, including an American girl named Abigail, who just turned four years old. 

She spent that birthday—and at least 50 days—held hostage by Hamas.

We will not stop working until every hostage is returned to their loved ones.",2023-11-27 21:26:00+00:00
10,Joe Biden,"RT @POTUS: Today, 13 more hostages – including a fellow American – were released by Hamas under a deal brokered and sustained through intensive U.S. diplomacy. 

We continue to press that additional Americans be released. 

And we will not stop working until every hostage is returned. https://t.co/stRApNxMEE",2023-11-26 18:16:29+00:00
11,President Biden,"Today, 13 more hostages – including a fellow American – were released by Hamas under a deal brokered and sustained through intensive U.S. diplomacy. 

We continue to press that additional Americans be released. 

And we will not stop working until every hostage is returned. https://t.co/stRApNxMEE",2023-11-26 18:15:02+00:00
12,Joe Biden,"Small businesses are the engine of our economy and the heart and soul of our communities.

On Small Business Saturday, I encourage you to support the folks in your community by shopping small. https://t.co/aAMT5YTS89",2023-11-25 15:45:06+00:00
13,Joe Biden,"RT @POTUS: Today, as we celebrate the release of dozens of hostages, we remember all those still being held, renewing our commitment to secure their release.

We won't stop until they're home — I have no higher priority. https://t.co/zp28XuIE3X",2023-11-25 00:20:43+00:00
14,President Biden,"Today, as we celebrate the release of dozens of hostages, we remember all those still being held, renewing our commitment to secure their release.

We won't stop until they're home — I have no higher priority. https://t.co/zp28XuIE3X",2023-11-24 23:35:00+00:00
15,Joe Biden,"RT @POTUS: Since time immemorial, Native communities have passed down rich cultures, knowledge, and ways of life. 

Today, on Native American Heritage Day, we celebrate their contributions – and recommit to championing a better chapter in the story of our Nation-to-Nation relationships. https://t.co/oVZ4kuAVAI",2023-11-24 15:13:00+00:00
16,President Biden,"Since time immemorial, Native communities have passed down rich cultures, knowledge, and ways of life. 

Today, on Native American Heritage Day, we celebrate their contributions – and recommit to championing a better chapter in the story of our Nation-to-Nation relationships. https://t.co/oVZ4kuAVAI",2023-11-24 14:49:11+00:00
17,Joe Biden,"This Thanksgiving, as Jill and I reflect on our nation's many blessings, we are thankful for our brave service members and the first responders who put so much on the line to keep us safe today and every day.",2023-11-23 16:00:32+00:00
18,Joe Biden,"RT @POTUS: From mine to yours – Happy Thanksgiving, America. https://t.co/7o2NhEvBUn",2023-11-23 14:56:43+00:00
19,President Biden,"From mine to yours – Happy Thanksgiving, America. https://t.co/7o2NhEvBUn",2023-11-23 14:37:37+00:00
20,Joe Biden,"RT @POTUS: I welcome the deal to secure the release of hostages taken by Hamas during its brutal assault against Israel on October 7th.

I'm gratified that these brave souls, who have endured an unspeakable ordeal, will be reunited with their families once this deal is fully implemented.",2023-11-22 12:20:55+00:00
21,President Biden,"I welcome the deal to secure the release of hostages taken by Hamas during its brutal assault against Israel on October 7th.

I'm gratified that these brave souls, who have endured an unspeakable ordeal, will be reunited with their families once this deal is fully implemented.",2023-11-22 04:18:29+00:00
22,Joe Biden,"Donald Trump is running for president bragging about how he “killed Roe v. Wade.”

Let’s be clear: The only reason a fundamental right has been stripped away from the American people for the first time in American history is because of Trump.",2023-11-21 21:58:00+00:00
23,Joe Biden,"RT @POTUS: Deaths from fentanyl are an American tragedy that requires global action.

I’m committed to doing everything I can to control this crisis – from expanding prevention, harm reduction, treatment, and recovery, to working with Chinese, Mexican, and Canadian partners to tackle this.",2023-11-21 18:58:56+00:00
24,President Biden,"Deaths from fentanyl are an American tragedy that requires global action.

I’m committed to doing everything I can to control this crisis – from expanding prevention, harm reduction, treatment, and recovery, to working with Chinese, Mexican, and Canadian partners to tackle this.",2023-11-21 18:29:13+00:00
25,Joe Biden,"Both Putin and Hamas are fighting to wipe a neighboring democracy off the map. 

America cannot, and will not, let that happen. For our own national security interests—and for the good of the entire world.
https://t.co/CS2lUg6ZCW",2023-11-21 16:33:00+00:00
26,Joe Biden,"It’s true over here on the campaign side, too. I’ve joined Threads. Follow me there: https://t.co/vhwuw7j0zu. https://t.co/XTdAcxbgEx",2023-11-20 23:55:34+00:00
27,Joe Biden,It was my honor to pardon this year's Thanksgiving turkeys: Liberty and Bell. https://t.co/MpcLYbV9qN,2023-11-20 20:00:36+00:00
28,Joe Biden,Bidenomics is working. https://t.co/mz0eRDilOj,2023-11-20 16:32:11+00:00
29,Joe Biden,"RT @POTUS: First Lady Rosalynn Carter walked her own path, inspiring a nation and the world along the way.

On behalf a grateful nation, we send our love to the entire Carter family and the countless people whose lives are better, fuller, and brighter because of Rosalynn Carter.",2023-11-19 23:57:11+00:00
