,Name,Text,Time
0,Tucker Carlson,"Ep. 43  You think elected Republicans in Washington are craven frauds who’d sell your children for a steak dinner at the French Laundry? Actually, says Marjorie Taylor Greene, it’s worse than that. https://t.co/F9Q0Xvo9m2",2023-11-30 22:59:00+00:00
1,Tucker Carlson,"TIMESTAMPS
 
05:15 Why are we funding foreign wars?
12:40 Initial thoughts on the new House Speaker
17:19 MTG vs. her own party 
19:32 Who are the worst Republicans in the House? 
26:50 Derek Chauvin stabbed in prison 
32:28 MTG keeps getting swatted
34:44 Some Republicans want war with China",2023-11-30 23:18:19+00:00
2,Tucker Carlson,"Ep. 42  For more than 80 years, the US government has hidden the existence of UFOs. The question is why. The answer is ominous. https://t.co/JMskiaBEmR",2023-11-29 00:13:45+00:00
3,Tucker Carlson,"Ep. 41  Dublin in flames. What’s happening in Ireland will happen here, at scale. Steve Bannon explains. https://t.co/KzrRUJq0ZL",2023-11-27 22:56:17+00:00
4,Tucker Carlson,"Always trust your gut. If you feel like they're lying to you, they are. https://t.co/zkKYtRUbrf",2023-11-21 22:24:29+00:00
5,Tucker Carlson,RT @TuckerCarlson: Ep. 24  Argentina’s next president could be Javier Milei. Who is he? We traveled to Buenos Aires to speak with him and find out. https://t.co/4WwTZYoWHs,2023-11-20 22:35:17+00:00
6,Tucker Carlson,Ep. 24  Argentina’s next president could be Javier Milei. Who is he? We traveled to Buenos Aires to speak with him and find out. https://t.co/4WwTZYoWHs,2023-09-14 22:00:01+00:00
7,Tucker Carlson,https://t.co/QXG4mmfPlu,2023-11-20 00:42:02+00:00
8,Tucker Carlson,"Ep. 40  Spain’s descent into tyranny seems eerily familiar. Opposition leader Santiago Abascal is one of the few people standing up to it. We traveled to Madrid to talk to him.

TIMESTAMPS:
1:11 Santiago Abascal
2:23 The end of democracy in Spain
8:43 “Are you ready to go to jail for this?”
12:55 George Soros
16:48 Low Spanish birthrate 
19:02 Censorship in Spain
28:32 When should the protests end?",2023-11-17 16:49:27+00:00
9,Tucker Carlson,"Ep. 39  Candace Owens responds to Ben Shapiro.

TIMESTAMPS:
(00:00) Candace is attacked – even when she’s right
(4:27) Ben Shapiro’s comments
(12:50) The emotional response to news out of Israel
(23:05) Nikki Haley vs. free speech
(30:34) 2024 predictions",2023-11-15 22:55:54+00:00
10,Tucker Carlson,In Madrid https://t.co/UclSJdFfm8,2023-11-13 19:27:03+00:00
11,The Rundown AI,"If you’re not using ChatGPT, you’re falling behind.

Subscribe to our newsletter to instantly get our FREE Advanced ChatGPT guide:",2023-10-13 03:27:00+00:00
12,Tucker Carlson,Tonight at UFC fights at Madison Square Garden https://t.co/Jj3Ga5oSgo,2023-11-12 03:17:32+00:00
13,Tucker Carlson,"Ep. 38  The First Amendment is done. Douglass Mackey is about to go to prison for mocking Hillary Clinton on the internet. We talked to him right before his sentencing. Remember as you watch that this could be you.

TIMESTAMPS:
(3:12) The Hillary Clinton meme
(4:20) Hillary’s reaction
(6:38) FBI raid

Mackey is currently raising funds for his appeal.
https://t.co/0Q97FNESuE",2023-11-09 23:05:31+00:00
14,Tucker Carlson,"Ep. 37 The two defining tragedies of our time — the war in Ukraine and the presidency of Joe Biden — are both finally coming to an end.

TIMESTAMPS:
(00:17) Glenn Greenwald joins
(05:41) Will the Ukraine War Hawks ever apologize?
(07:25) Using foreign wars to punish Americans
(10:00) Free speech hypocrisy 
(18:18) Biden’s awful poll numbers
(21:31) Liberal media turn on Biden
(25:09) 2024 predictions",2023-11-07 23:31:50+00:00
15,Tucker Carlson,Ep. 36  What happens when you give Hillary Clinton the finger? Ask Martin Shkreli. He did four and a half years in prison. That may be why Sam Bankman-Fried just asked his advice on doing time. https://t.co/vMGiqDk4tR,2023-11-06 22:59:00+00:00
16,Tucker Carlson,"(3:24) Most Hated Man in America
(7:20) Hillary Clinton
(9:57) @wagieeacc Dragged Before Congress
(28:17) The Hillary Joke
(32:33) Life in Prison
(36:09) Sam Bankman-Fried
(44:35) Trump &amp; Prison
(47:38) More Sam Bankman-Fried",2023-11-06 22:59:28+00:00
17,Tucker Carlson,Visiting Julian Assange at Belmarsh Prison this morning https://t.co/5XR51QTZgy,2023-11-02 14:41:09+00:00
18,Tucker Carlson,"Ep. 35  Start another war, send millions more anti-Western refugees to the West. Starting to notice a pattern? https://t.co/93dQaVfbNF",2023-10-30 21:59:00+00:00
19,Tucker Carlson,"Ep. 34  Of all of Biden’s crimes, backing the Ukrainian government as it throws priests in jail may be the most revealing. https://t.co/ZCVV4uPzs9",2023-10-26 21:59:00+00:00
20,DragonflyDB,"to learn how to build a real-time leaderboard built for extreme scale? 📈👾📈👾

Join our free workshop on building performance and resilient data infrastructure for online games. 

#gamedev #databases",2023-11-28 21:03:00+00:00
21,Tucker Carlson,"You can say you care about America, but if you’re sending $100 billion to foreign countries right now, you’re lying. https://t.co/jFmBlAW3qG",2023-10-25 22:00:01+00:00
22,Tucker Carlson,Ep. 33  Looks like we’re actually going to war with Iran. Are we ready for this? https://t.co/Ap09hWnvnj,2023-10-23 21:59:00+00:00
23,Tucker Carlson,"(2:00) Col. Douglas Macgregor
(4:20) Threats to the homeland
(6:12) Iran &amp; its missiles
(13:00) Going into Gaza
(19:40) American hostages
(22:45) Impact on the American economy",2023-10-23 22:02:46+00:00
24,OnlineShoppingTools,It's a bigger problem than you might think (the ugly truth).,2023-10-25 14:37:00+00:00
25,Tucker Carlson,"Ep. 43  You think elected Republicans in Washington are craven frauds who’d sell your children for a steak dinner at the French Laundry? Actually, says Marjorie Taylor Greene, it’s worse than that. https://t.co/F9Q0Xvo9m2",2023-11-30 22:59:00+00:00
26,Tucker Carlson,Ep. 33  Looks like we’re actually going to war with Iran. Are we ready for this? https://t.co/Ap09hWnvnj,2023-10-23 21:59:00+00:00
27,Tucker Carlson,"Ep. 32  You’ll be shocked to learn this, but it turns out the whole George Floyd story was a lie. https://t.co/4vDXBStHf5",2023-10-20 20:30:00+00:00
28,Tucker Carlson,"(2:36) ""The kind of case that ends careers""
(3:30) Vince Everett Ellison
(9:25) Democrats &amp; Oppression
(11:28) ""Burn, Loot, and Murder""",2023-10-20 20:30:28+00:00
29,Tucker Carlson,Ep. 31  How to avoid World War III https://t.co/kdzoMxOt3B,2023-10-19 02:14:50+00:00
30,Tucker Carlson,"(0:00) Vivek attacked for opposing World War III
(3:00) The potential for disaster in America
(5:00) What does an Israeli ground invasion mean?
(9:30) The appropriate response to Hamas
(14:25) The real threat of nuclear war",2023-10-19 02:42:08+00:00
